"Data ID","ISO","Event ID","Event Date","Year","Time Precision","Event Type","Actor I","Associated Actor 1","Inter 1","Actor 2","Associated Actor 2","Inter 2","Interaction","Region","Country","Province","Administration 1","Administration 2","Administration 3","Location","Latitude","Longitude","Geo Precision","Source","Coverage","Notes","Fatalities","Timestamp","CC"
"1989410","144","SRI2813","2813","17 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","SLPP: Sri Lanka People's Front","6","","","0","60","Southern Asia","Sri Lanka","Western","Gampaha","Minuwangoda","Udugampola","7.1167","79.9833","1","News1st","National","On 17 Nov, in Udugampola (Minuwangoda, Gampaha), the SLPP took to Udugampola Junction to protest against the actions of the Speaker and to call for a general elections.","0","1542726257","LKA"
"1989411","144","SRI2814","2814","17 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","SLPP: Sri Lanka People's Front","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Kesbewa","Boralesgamuwa","6.8382","79.9104","1","News1st","National","Assumed on 17 Nov, in Boralesgamuwa South area (Kesbewa, Colombo), the SLPP took to Boralesgamuwa junction to protest against the actions of the Speaker and to call for a general elections.","0","1542726257","LKA"
"1989412","144","SRI2815","2815","17 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","SLPP: Sri Lanka People's Front","6","","","0","60","Southern Asia","Sri Lanka","North Central","Anuradhapura","N. Palatha East","Anuradhapura","8.3123","80.4131","1","News1st","National","Assumed on 17 Nov, in Anuradhapura (N. Palatha East, Anuradhapura), the SLPP took to the streets to protest against the actions of the Speaker and to call for a general elections. They also burned an effigy of the Speaker.","0","1542726257","LKA"
"1989413","144","SRI2816","2816","17 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","SLPP: Sri Lanka People's Front","6","","","0","60","Southern Asia","Sri Lanka","Sabaragamuwa","Ratnapura","Ratnapura","Ratnapura","6.6828","80.3992","1","News1st","National","On 17 Nov, in Ratnapura city, the SLPP took to the streets to protest against the actions of the Speaker and to call for a general elections.","0","1542726257","LKA"
"1989414","144","SRI2817","2817","17 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","SLPP: Sri Lanka People's Front","6","","","0","60","Southern Asia","Sri Lanka","Western","Gampaha","Attanagalla","Nittambuwa","7.1426","80.0938","1","News1st","National","On 17 Nov, in Nittambuwa (Attanagalla, Gampaha), the SLPP took to the streets to protest against the actions of the Speaker and to call for a general elections.","0","1542726257","LKA"
"1989415","144","SRI2818","2818","17 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","SLPP: Sri Lanka People's Front","6","","","0","60","Southern Asia","Sri Lanka","Western","Gampaha","Dompe","Pugoda","6.9911","80.1197","1","News1st","National","On 17 Nov, in Pugoda (Dompe, Gampaha), the SLPP took to the streets to protest against the actions of the Speaker and to call for a general elections.","0","1542726257","LKA"
"1989409","144","SRI2812","2812","16 November 2018","2018","1","Riots/Protests","Rioters (Sri Lanka)","UPFA: United People's Freedom Alliance; SLFP: Sri Lanka Freedom Party; UNP: United National Party; SLPP: Sri Lanka People's Front; Government of Sri Lanka (2015-)","5","Police Forces of Sri Lanka (2015-)","","1","15","Southern Asia","Sri Lanka","Western","Colombo","Sri Jayawardanapura Kotte","Sri Jayawardenepura Kotte","6.883","79.9071","1","AFP; AP; BBC Monitoring; DPA; New York Times; Asian Tribune","Regional-International","On 16 Nov, in Sri Jayawardenepura Kotte city (Colombo), rioters (UPFA, UNP, SLFP, SLPP), threw chili powder, books, and chairs during a 2nd Parliament voting on appointment of PM Rajapakse. Several, including 1 police, were injured. The Speaker was escorted by police to prevent him from being attacked. SLFP denied being involved in the riot despite 1 reported as acting aggresively during the proceedings.","0","1542726257","LKA"
"1989406","144","SRI2809","2809","15 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party; SLMC: Sri Lanka Muslim Congress","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Ada Derana; Asian News International; BBC Monitoring; Tamil Guardian","National-Regional","On 15 Nov, in Colombo city, members and supporters of the UNP, including the SLMC, held a protest at the Lipton Circus and burned effigies of the President and his appointed Prime Minister to demand restoration of democracy in the country.","0","1542726257","LKA"
"1989407","144","SRI2810","2810","15 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","Students (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Central","Kandy","Yatinuwara","Peradeniya","7.2622","80.5841","1","Daily Mirror (Sri Lanka)","National","On 15 Nov, in Peradeniya (Yatinuwara, Kandy), around 1,000 students of the Peradeniya University staged a protest in front of the Senate building to demonstrate against the suspension of several students of the Rajarata, Southeastern and Peradeniya universities.","0","1542726257","LKA"
"1989408","144","SRI2811","2811","15 November 2018","2018","1","Riots/Protests","UNP: United National Party","Government of Sri Lanka (2015-)","3","Rioters (Sri Lanka)","SLPP: Sri Lanka People's Front; SLFP: Sri Lanka Freedom Party; UPFA: United People's Freedom Alliance; Government of Sri Lanka (2015-)","5","35","Southern Asia","Sri Lanka","Western","Colombo","Sri Jayawardanapura Kotte","Sri Jayawardenepura Kotte","6.883","79.9071","1","AFP; AP; Daily Mirror (Sri Lanka); Global English Tamil Guardian","National-International","On 15 Nov, in Sri Jayawardenepura Kotte city (Colombo), a melee occurred inside the parliament as members (UNP, UPFA, SLFP, SLPP) threw punches, water bottles, and trash cans inside the chamber over the vote against Rajapakse's call for snap elections. Several sustained minor injuries. One UPFA member was sent to the hospital as he was injured trying to grab the mic of the Speaker. 2 UNP members were armed with knives as they allegedly threaten other MPs.","0","1542726257","LKA"
